Dataset_Name,SODA_ID,Category,Description,Date_Range_or_Notes
"Border Crossing Entry Data",keg4-3bc2,"Research and Statistics","Summary statistics for inbound crossings at U.S.-Canada and U.S.-Mexico borders by port. Trucks, trains, containers, buses, personal vehicles, passengers, pedestrians. ~407,374 rows.","Jan 1996 - Jan 2026"
"Port and Commodity TransBorder Freight Data Year-To-Date",yrut-prtq,"Research and Statistics","North American cross-border freight data by mode, commodity type, and geographic detail for U.S. exports/imports with Canada and Mexico.","Jan 2006 - present"
"TransBorder Freight Data (Story/Dashboard)",kijm-95mr,"Research and Statistics","Interactive dashboard for $1.6 trillion in annual freight between U.S., Canada, and Mexico. Visual summaries by mode, commodity, and port.",Story/Dashboard
"TransBorder Freight Data Forecast",h73b-4dgk,"Research and Statistics","Nowcast model providing estimated view of current freight volumes before official numbers are finalized.",Forecast model
"TransBorder Freight Data Chart",cd4n-nq6m,"Research and Statistics","Visual summary of annual freight moving between the U.S., Canada, and Mexico.",Visualization
"2021 TransBorder Data State and Port",cs4v-wy2n,"Research and Statistics","TransBorder freight data broken down by state and port for 2021.",2021
"Monthly Transportation Statistics",crem-w557,"Research and Statistics","Compilation of 50+ national time series from ~24 federal and industry sources covering all transportation modes.",Monthly updated
"Transportation Services Index and Seasonally-Adjusted Transportation Data",bw6n-ddqk,"Research and Statistics","Measures movement of freight and passengers. Combined index weighting monthly transportation data across modes. ~119,921 downloads.",Monthly updated
"Combined Transportation Service Index",9xbb-k5pk,"Research and Statistics","Combined (freight + passenger) Transportation Service Index.",Time series
"Passenger Transportation Service Index",xkwi-7rvx,"Research and Statistics","Passenger component of the Transportation Services Index.",Time series
"Transportation Services Index - Freight",gutz-h9fp,"Research and Statistics","Monthly measure of volume of services performed by for-hire trucking, freight railroad, inland waterway, pipeline, and air freight.",Time series
"Daily Mobility Statistics",w96p-f2qv,"Research and Statistics","Mobile device location data tracking population trips by distance category at national, state, and county levels. COVID and post-COVID.",Daily since 2020
"Trips by Distance (same as Daily Mobility)",w96p-f2qv,"Research and Statistics","Trips by distance categories from anonymized mobile device data. National level.",Daily
"Trips by Distance - National and State",aksz-j95y,"Research and Statistics","State-level trip distance data from mobile device panels.",Daily
"Trips by Distance - County",p3sz-y9us,"Research and Statistics","County-level trip distance data from mobile device panels.",Daily
"Trips by Distance with County Data",gyti-3rm8,"Research and Statistics","Trips by distance with additional county transportation statistics.",Daily
"Trips by Distance with County Data (variant)",ivp4-5mkt,"Research and Statistics","Trips by distance data with additional county transportation statistics.",Daily
"Trips by Distance - Daily Average by Month",bnhp-2ktx,"Research and Statistics","Monthly averaged trip distance data.",Monthly aggregation
"Trips by Distance - Daily Average by Week",e5xt-zdtd,"Research and Statistics","Weekly averaged trip distance data.",Weekly aggregation
"Trips by Distance - National",6ced-86in,"Research and Statistics","National-level trips by distance.",Daily
"Number of Trips by Distance in Los Angeles County",253d-8r8a,"Research and Statistics","Trip distance data specific to Los Angeles County.",Example county
"Stay-at-Home Data (stayhome)",ysyy-v3cu,"Research and Statistics","Population staying at home estimates from mobile device data.",COVID era
"Daily Passenger Travel",8g57-rqa4,"Research and Statistics","Daily passenger travel statistics.",Daily
"Supply Chain and Freight Indicators",y5ut-ibwt,"Research and Statistics","U.S. DOT interagency working group data on supply chain activity: port data, freight movement, transportation labor metrics.",Updated Mar 2026
"Passenger Travel Facts and Figures",f6cu-qb3g,"Research and Statistics","Snapshot of characteristics and trends of personal travel in the U.S.; network, economic, safety, and environmental aspects.",Updated Feb 2026
"Chapter 1. Sources of Travel (PTFF)",jb4c-66ju,"Research and Statistics","Demographics and economic characteristics contributing to demand for passenger travel.",PTFF chapter
"PTFF Commuting Public Transportation in Metro Areas",ex2n-fgi7,"Public Transit","Commuting public transportation data in metropolitan areas from Passenger Travel Facts and Figures.",Metro areas
"PTFF - Cities With Bike-Share Systems",nh5j-8gwq,"Bicycles and Pedestrians","Data on cities with operational bike-sharing programs.",Updated Feb 2026
"State-Level Transportation Public Finance Tables",fz36-xnyc,"Research and Statistics","State-level transportation revenue and expenditure data across modes at state/local government levels.",Updated Feb 2026
"State-Level Transportation Public Finance Statistics (TPFS)",kdtd-3e96,"Research and Statistics","Transportation revenue and expenditures across modes at state/local levels. Replaces older GTFS dataset.",Updated Feb 2026
"Government Transportation Financial Statistics (GTFS) Data",nu8j-7gmn,"Research and Statistics","Government transportation financial statistics (older version, replaced by TPFS).",Legacy
"Airports",kfcv-nyy3,"Aviation","All official/operational aerodromes as of July 2020. Part of NTAD. Includes enplanements, operations, congestion levels.",NTAD geospatial
"U.S. Airport On-Time Performance",rns4-gpqn,"Aviation","Airport-level on-time performance metrics for U.S. airports.",Ongoing
"U.S. Marketing Air Carriers On-Time Performance",56fa-sf82,"Research and Statistics","Percentage of flights arriving on-time (within 15 min). Last 25 months for current reporters.",Monthly
"T100 - Preliminary Estimates",3xj5-daif,"Aviation","Preliminary estimates from the T-100 Air Carrier Statistics database.",Monthly preliminary
